ID:新冠肺炎|我采访了刚到中国支援的德国顶尖病毒研究家
{'danmu_send_time': '2021-01-14 21:14:21', 'text': '新年快乐虽然是不完美的一年'}
{'danmu_send_time': '2021-01-08 15:29:00', 'text': '感谢'}
{'danmu_send_time': '2021-01-08 15:26:09', 'text': 'Long live the friendship between China and Germany'}
{'danmu_send_time': '2020-12-21 12:07:35', 'text': '2020年12月7日考古'}
{'danmu_send_time': '2020-12-11 23:56:19', 'text': 'Danke'}
{'danmu_send_time': '2020-11-20 16:59:35', 'text': '11月看到这个视频看到福太哭 我也要哭了'}
{'danmu_send_time': '2020-11-20 16:58:00', 'text': '我的天其实就是群体免疫'}
{'danmu_send_time': '2020-11-10 08:32:18', 'text': '感谢'}
{'danmu_send_time': '2020-11-02 14:53:27', 'text': 'Danke'}
{'danmu_send_time': '2020-10-25 22:51:00', 'text': '感谢'}
{'danmu_send_time': '2020-10-16 23:25:05', 'text': '人类吃了几千年的野味我不太认同是野兽传人的'}
{'danmu_send_time': '2020-08-25 16:37:48', 'text': '感谢'}
{'danmu_send_time': '2020-08-01 20:28:00', 'text': '感谢'}
{'danmu_send_time': '2020-07-31 14:26:43', 'text': 'Danke！'}
{'danmu_send_time': '2020-07-31 13:49:08', 'text': '感谢'}
{'danmu_send_time': '2020-07-28 09:59:19', 'text': '感谢'}
{'danmu_send_time': '2020-07-27 13:14:43', 'text': '中德友谊万岁！'}
{'danmu_send_time': '2020-07-26 05:00:51', 'text': '感谢！'}
{'danmu_send_time': '2020-07-25 23:30:08', 'text': '感谢'}
{'danmu_send_time': '2020-07-25 20:45:03', 'text': '感谢德国专家的帮助。谁帮我们自己也会得到帮助'}
{'danmu_send_time': '2020-07-22 13:21:36', 'text': '20200722美国都疯了'}
{'danmu_send_time': '2020-07-16 21:35:00', 'text': '感谢'}
{'danmu_send_time': '2020-07-14 07:40:33', 'text': '感谢'}
{'danmu_send_time': '2020-07-12 18:29:26', 'text': '谢谢'}
{'danmu_send_time': '2020-07-09 18:57:52', 'text': '万分感谢！'}
{'danmu_send_time': '2020-07-09 12:30:11', 'text': '感谢！'}
{'danmu_send_time': '2020-07-09 12:30:01', 'text': '感谢'}
{'danmu_send_time': '2020-07-09 12:29:50', 'text': '感谢'}
{'danmu_send_time': '2020-06-28 13:32:56', 'text': '感谢'}
{'danmu_send_time': '2020-06-25 01:19:58', 'text': '感谢'}
{'danmu_send_time': '2020-06-21 21:07:38', 'text': '德国确诊不少，但死亡的极其少'}
{'danmu_send_time': '2020-06-14 23:18:17', 'text': '美国200w考古 希望快点过去 加油'}
{'danmu_send_time': '2020-06-13 23:00:14', 'text': '感谢'}
{'danmu_send_time': '2020-06-10 19:34:28', 'text': '刚看到，感谢！！！'}
{'danmu_send_time': '2020-06-09 00:07:02', 'text': '谢谢'}
{'danmu_send_time': '2020-06-02 23:44:11', 'text': '感谢'}
{'danmu_send_time': '2020-05-31 19:03:45', 'text': '谢谢'}
{'danmu_send_time': '2020-05-30 20:43:10', 'text': '前面的，埃博拉也分什么埃博拉'}
{'danmu_send_time': '2020-05-30 20:31:32', 'text': '感谢'}
{'danmu_send_time': '2020-05-30 20:31:26', 'text': '感谢'}
